name	year	discipline	total_years	society_name	society_members	attendees	venue	frequency	sponsors	virtual_option	digital_archives	attendance_cost	registration_fee	carbon_footprint	other_carbon_footprint	electonic_program	onsite_maternity	onsite_childcare	caregiver_grant	career_development	ecr_promotion_events	travel_awards	code_of_conduct	safety_instructions	gender_balance	keynote_gender_balance	speaker_gender_balance	invited_gender_balance	session_chair_gender_balance	conference_chair_gender_balance	environmental_sustainability	public_engagement	sustainability_initiatives	conference_url	other_details
TAGC2020(The Allied Genetics Conference 2020)	2020	Genetics	90	The Genetics Society of America	6000	4000	Washington DC, USA	Annual		None	None	$2000-$4000	$495-$995	6000	1200	Yes the meeting program was available online on the conference website.	Yes (Three nursing rooms will be available for use at TAGC 2020:     On the ballroom level (Potomac Ballroom Green Room)     Outside of the Prince George’s Exhibition Hall     Near the Woodrow Wilson Ballroom The rooms will be open from 7:30 a.m. until 10:00 p.m. from Wednesday through Saturday and 7:30 a.m. until 12:00 p.m. on Sunday and will be open to all conference attendees. Each room can accommodate multiple people in screen-off areas and will provide comfortable seating, outlets, a refrigerator, sanitizing wipes, and hand sanitizer. The rooms will be near bathrooms for access to sinks. Space will be available in each room for storing pumping equipment, bottles, etc.; however, the room will not be secured, so any items left are at your discretion. All items must be removed from the nursing rooms at the end of each day and by Sunday, April 26, 2020, at 12:00 p.m. Attendees who are guests at the Gaylord National Resort may take labelled breast milk to the front desk to be stored in a freezer.)	Yes (TAGC 2020 is excited to welcome parents, caregivers, and their children) have PArents on Slack with their own Code of Conduct: https://docs.google.com/document/d/13BSTA4A2RG-eQHXU_ra8Ea7p4LDfF2khwFSiyE2tmDs/edit    On-site childcare for TAGC 2020 will be provided for children age 6 months–12 years by ACCENT on Children’s Arrangements.   A meetup for Parents in Science will be held during the morning coffee break   Join the Parents in Science Slack to socialize and share resources with other parent scientists.  Children are allowed in keynote, concurrent, and poster sessions; this includes babywearing of young children.  To ensure the safety of all children in attendance and to create a productive and fulfilling meeting atmosphere for all attendees, we ask all parents and caregivers to abide by the following guidelines: Children age 12 and under must be accompanied by an adult in all meeting areas. Parents and caregivers should do their best to ensure that children are not disruptive to any sessions they attend (including poster sessions). Large sessions will have seating at the back of the room reserved for attendees with children to allow for easy access into and out of the room. These seats will be clearly marked.  For safety reasons, children are not allowed in the exhibit/poster hall during set-up or break-down times.  Resources: Milk Stork, BabyQuip 	Yes  (Childcare and Dependent Grant Opportunities: GSA members attending TAGC 2020 are eligible to apply for a grant to cover child- or dependent-care costs incurred due to meeting attendance) 	Yes (1.Capitol Hill Day: Talk to policymakers at this special advocacy event the day before the conference.  2.Community and Connections: Meet new colleagues and learn from stimulating discussions on topics you care about! Join us moderated discussion tables on scientific, professional development, and community topics. All career stages are welcome!  3.CURE Workshop: Learn about course-based research experiences (CUREs) from experienced faculty 4.Diversity, Equity, and Inclusion Session: In this session, speakers will discuss ways that our community can foster a more inclusive scientific culture. We invite abstracts on these important topics both from life scientists and from those who study social sciences and the humanities.  5.GENETICS Peer Review Training Workshop: Becoming a better reviewer will help you to become a better author and to hone some of the skills central to scientific success. 6.Grants and Funding: Learn about funding decisions and get tips from experienced investigators and program officers.  7.Industry Sessions: TAGC’s Industry Sessions will bring together scientists from industry and academia to encourage collaboration and stimulate technology development 8.The Biotech Pipeline: This session explores how discoveries move from the research setting through the industry pipeline to the marketplace. 9.Genetic Technology in Practice: Learn about the latest advances in the use of genetic technology in agriculture. 10.Discovering Careers in Industry: This session offers a window into scientific careers in the private sector 11.Meet the Editors: Visit the GSA booth in the Exhibit Hall to sign up for a 15-minute consultation with a GENETICS or G3 editor. Consultations will be held during the Friday and Saturday Poster Sessions 12.Meetups: Stop by and meet other attendees who share your interests and challenges! Meetups are scheduled on the following topics     Disability in science     LGBTQ+ in science     Parents in science     PUI educators     Science communication     TAGC alone (for those traveling without labmates) 13.New Faculty Forum: Network, learn, and find support at this one-day workshop designed for new faculty and advanced postdocs. 14.Publishing Q&A: Join journal editors to discuss the ins-and-outs of getting your articles published.  15.Recruitment Event:TAGC’s recruitment program will bring together jobseekers and organizations from all sectors of the workforce to discuss employment opportunities. Companies and organizations can identify qualified talent entering the market and job candidates can learn about new career options and job leads 16.Scientific Writing Workshop: Through this workshop, graduate students and postdocs will explore topics relevant to scientific writing through a series of lectures and interactive sessions.	Yes Professional development activities: 1. Poster Awards: Undergraduate and graduate student GSA members are eligible for GSA Poster Awards. Poster Viewing Invitations: Amplify your work and seek expert feedback by inviting specific scientists to attend your poster presentation.   2. Recruitment Event:TAGC’s recruitment program will bring together jobseekers and organizations from all sectors of the workforce to discuss employment opportunities. Companies and organizations can identify qualified talent entering the market and job candidates can learn about new career options and job leads.  3. Undergraduate Platform Sessions: This session provides an opportunity for undergraduate students to highlight their research accomplishments while making connections.)	Yes (1.GSA Undergraduate Travel Awards 2.TAGC Travel Awards 3.TAGC Travel Awards – New Faculty members 4.FASEB DREAM Mentored Poster/Platform Presenter Award)	https://genetics-gsa.org/tagc-2020/conference-code-of-conduct/	None	None	Not Applicable to this meeting.	9 Men: 6 Women	Not Applicable to this meeting.	55 Men: 55 Women 	Allied program committe: 7 Women: 5 Men their chair: 1 Man	None	None	None	http://conferences.genetics-gsa.org/tagc/2020/index	GSA Communities      C. elegans     Drosophila     Mammalian     PEQG     Xenopus     Yeast     Zebrafish
International Coral Reef Symposium	2020	Coral Reef Biology	14	International Coral Reef Society	827	500	Bremen, Germany	Annual		None	None	$2000-$4000	$540-$980	750	150	Yes the meeting program was available online on the conference website.	None	Yes (The ICRS 2020 offers for the congress week every day from 7:30 a.m. - 6:00 p.m. (Friday, 10th July 2020 until 5:00 p.m.) child care with trained personnel in an area especially adapted for children (only for children aged 1 – 12 years and of registered parents). If you are interested in the child care service, please register before the congress latest by 10 May 2020. Without prior registration, the child care provider Kiro Bremen cannot guarantee to look after your child for the duration of the ICRS 2020. As childcare spaces are limited, registration will be on a first-come first-served basis.)	None	Yes (1. Getting Published   2. Workshop and social for early career scientists: how do I maximize success in academia or non-academic pathways?)	Yes (At least two ‘Best Student Talk’ and two ‘Best Student Poster’ awards will be given at International Coral Reef Symposia and at least one at other ICRS-sponsored/ affiliated regional or special topic meetings. The winners will receive a certificate, free membership to the society for the following two years and (if available) additional items. To be eligible, graduate or undergraduate students (or recent students) must: be the presenter of the talk or poster, be the first or second author of the presentation concerned be a current member of ICRS at the commencement of the meeting (unless otherwise specified), be a registered student at the time of abstract submission.)	Yes (twenty (20) student travel awards at €490.00 each to directly cover the cost of early student registration. These will be in addition to the ten (10) student travel awards for US$1,000.00 that have already been committed. The Society has received 247 applications from graduate and undergraduate student researchers. Awardees will be notified in mid-March 2020.)	https://www.icrs2020.de/code-of-conduct/	None	None	Not Applicable to this meeting.	4 Women: 3 Men	Not Applicable to this meeting.	Not Applicable to this meeting.	Conf chairman: 1 Man, Society president: 1 Woman	None	None	Yes (https://www.icrs2020.de/green-strategy/)	http://www.icrs2020.de/	Founded in 1980, the ICRS has 827 members in 67 countries.
18th International Symposium on Microbial Ecology	2020	Microbial Ecology	18	International Society for Microbial Ecology	4000	2200	Cape Town, South Africa	Annual		Electronic posters introduced for the first time in 2018	None	 $2000-$4000	$430-1020	3300	660	Yes the meeting program was available online on the conference website.	None	None	None	None	Young Investigator Award; Student Poster Award	ISME Travel Awards for young scientists also ISME has two types of travel grants available for ISME18, the ISME Society Travel Award for ISME student members and the African Scientist Travel Award, for attendees from Africa. Applicants from Africa are advised to apply for the African Scientists Travel Award which requires no membership to the ISME society. It is not possible to apply to both grants. Travel awards will be available for African scientists to support the costs of attending the ISME18 conference. The award will cover the following:     Full conference registration     Return economy flights     Return shuttle transport in Cape Town     6 days accommodation     Meal vouchers Eligibility All applicants must be microbiologists working/residing at an African institution; anyone working at an African institution, regardless of nationality, is eligible to apply to this grant. The Travel Awards will be assigned in three categories:     Student Grants: African students currently engaged in research toward a higher degree: Masters or PhD     PostDoc Grants: Postdoctoral fellows working in Africa; no more than 5 years post-PhD     Non-Student Grants: African researchers appointed at recognized research institutions. Early career researchers will be prioritized The applicant must also be the presenting author of an abstract submitted to the symposium.	https://isme18.isme-microbes.org/code-conduct-isme18	No Apps but a note on safety on conference websit says: Safety Cape Town is a very cool place, with beautiful scenery and friendly people, but please take good care of your safety. The tourist areas such as the V&A Waterfront, and the area around the convention center are relatively safe, but staying vigilant is never a bad idea. Please do not go out at night on your own, and, even with friends, avoid walking back to your hotel at night (take a taxi). Don't allow strangers to assist you at ATMs, and keep your valuable documents in a safe place at all times. Cape Town Tourism also has some tips on their website.	None	Same Spekaers As Planery.	4 Men: 4 Women	49 Women: 47 Men	28 Women: 22 Men	No information available online	None	None	None	http://isme18.isme-microbes.org/symposia-events	
18th Congress of the International Society for Behavioral Ecology	2020	Behavioral Ecology 	9	International Society for Behavioral Ecology	1500	600	Melbourne, Australia	Biennial	@BehavEcol	None	None	 $2000-$4000	$515-$980	900	180	Yes the meeting program was available online on the conference website.	None	None	None	Yes (1. A Reproducibility Workshop: ‘How to make your workflow reproducible’. This would include an introduction to reproducibility, data management and data sharing, with practical exercises/information on platforms, such as Github, preprint servers and the OSF (open science framework). The workshop may also cover error detection (critical evaluation of published research and how to detect inconsistencies in data patterns).  2. The Mentor Program: The Congress provides a valuable opportunity to make connections and share knowledge and to facilitate this, the Organisers are offering a Mentor Program. This is simply an opportunity for you to catch up with your mentor/mentee over a coffee or  lunch break and have a conversation, share ideas, challenges and opportunities. There is no expectation beyond the opportunity for a chance to make a connection and share a conversation with a colleague who shares a similar interest. If you would like to be mentored or would be keen to be a mentor, please indicate your interest on the registration form and also your main subject area of interest. Closer to the time of the Congress, we will facilitate contact with your designated mentor/mentee so you can make arrangements to meet at your convenience during the Congress.)	None	Yes (Regardless of their citizenship or country of residence, Ph.D. students or postdocs (or other recent Ph.D.s in temporary positions which offer minimal institutional support for meeting travel) are eligible to apply for funding to offset the costs of transportation to the Congress. Faculty whose home institutions are located in developing nations are also eligible to apply.)	None	None	None	Hamilton Lecturer: 1 Man	4 Women: 2 Men	Not Applicable to this meeting.	No information available online	No information available online	None	None	None	http://www.behavecol.com/meetings-conferences/	
11th International Conference on Biological Invasions (NEOBIOTA2019)	2019	Biological Invasions	11	Croatian Ecological Society	2000	1000	Prague, The Czech Republic	Annual	No information available online	None	None	 $2000-$4000	$250-$360	1500	300	Yes the meeting program was available online on the conference website.	None	None	None	None	None	None	None	None	None	4 Men: 3 Women	Not Applicable to this meeting.	No information available online	6 Men: 1 Woman	local organizing committee: 7 Women: 3 Men, Conf chairs: 2 Men	None	None	None	https://emapi2019.org/	
The 2nd International Conference microbiota Gut Brain Axis	2019	Microbiology	2	Bastiaanse Communication corporation 	Not Applicable	300	Amsterdam, The Netherlands	Annual	Lallemand (https://www.lallemand.com/), Winclove Probiotics (https://www.winclove.nl/en/), Yakult (https://yakulteurope.com/)	None	None	 $2000-$4000	$270-$950	450	90	Yes the meeting program was available online as a .pdf file on the conference website.	None	None	None	None	None	None	None	None	None	2 Men: 1 Women	None	12 Women: 10 Men	3 Men: 2 Women	Conference committee: 2 Women: 1 Man, Scientific Advisory committee: 8 Women: 4 Men	None	None	None	https://www.mindmoodmicrobes.org/index.php	
Tuberculosis: Mechanisms, Pathogenesis and Treatment (A3)	2019	Microbiology	1	Keystone Symposia	Not Applicable	200	Banff, Alberta, Canada	Annual		None	None	 $2000-$4000	No information available online	300	60	Yes the meeting program was available online on the conference website.	None	None	None	None	None	Yes but only for:     A U.S. Citizen or a Resident Alien with a Green Card.     A graduate or post-doctoral student currently enrolled in an academic program.     One of the following ethnic origins:         Hispanic American or Latin American         African American or Black         American Indian or Alaska Native         Native Hawaiian or Pacific Islander	None	None	None	3 Men: 2 Women	5 Men: 4 Women	42 Men: 20 Women	11 Women: 6 Men	2 Men: 2 Women	None	None	None	https://tks.keystonesymposia.org/index.cfm?e=web.Meeting.Program&meetingid=1627	
Phage Future Conference	2019	Microbiology 	2	Not Applicable	Not Applicable	184	Washington DC, USA	Annual	Proteon Pharmaceuticals(http://www.proteonpharma.com), Cellexus(http://www.cellexus.com/),Cela Cells(https://clean-cells.com/), Phage, Therapy, Application and Research (https://home.liebertpub.com/publications/phage/652), Jafral(https://jafral.com/), Myriadelab(http://www.myriadelab.com/en/), Phagelux(http://www.phagelux.com/)	None	None	 $2000-$4000	No information available online	276	55.2	Yes the meeting program was available online as a .pdf file on the conference website.	None	None	None	None	None	None	None	None	None	No information available online	12 Men: 10 Women	No information available online	No information available online	No information available online	None	None	None	https://phage-futures.com/events/phage-futures-2019#smooth-scroll-top	
OceanVison2019-Climate Summit	2019	Climate Science	1	Not Applicable	Not Applicable	300	Georgia, USA	Annual		None	None	 $2000-$4000	No information available online	450	90	Yes the meeting program was available online as a .pdf file on the conference website.	None	None	None	None	None	None	None	None	None	10 Women: 8 Men 	None	8 Men: 4 Women	Session chairs: 12 Men: 11 Women	Organizing committee: 4 Men: 2 Women	None	None	None	http://oceanvisions.org/oceanvisions19	
STI & HIV 2019 World Congress	2019	Microbiolgy & Infectious Diseases	23	The International Society for Sexually Transmitted Diseases Research; IUSTI	3000	1500	Vancouver, Canada	Biannual	Hologic (https://www.hologic.com/), Roche(https://diagnostics.roche.com/#selectProfile), Abbott (https://www.abbott.com/), BD(https://www.bd.com/en-us), Cepheid (https://www.cepheid.com/us), SD Biosensors(http://www.sdbiosensor.com/xe/)	None	None	 $2000-4000	$300-900	2250	450	Yes (Browse the agenda to keep track of sessions, speakers, exhibitors and sponsors!     View the full scientific program and browse through the abstract presentations     Identify and locate sponsors and exhibitors with the floor plan map!     Connect with other attendees)	None	None	None	None	None	Yes; 20 awarded in total	None	None	None	None	None	No information available online	No information available online	Conf chairs: 2 Women, Local Organizing Committee: 10 Men: 6 Women	None	None	None	http://stihiv2019vancouver.com/	
IUSTI-Europe Congress 2019	2019	Infectious Diseases & Dermatology	7	International Union against Sexually Transmitted Infections	No information available online	700	Tallinn, Estonia	Annual	Conference services provided by PCO Conference Expert, Sponsors: Bailleul Laboratories (http://bailleul.com/en/), Cepheid (https://www.cepheid.com/us//), Syn Lab (https://synlab.ee/), Abbott (https://www.abbott.com/), BD(https://www.bd.com/europe/), MSD(http://www.msd.com/),Roche (https://www.roche.com/). ViiV Healthcare(https://viivhealthcare.com/en-gb/), ECDC:European Center for Disease prevention and control (https://www.ecdc.europa.eu/en/home). 	None	Yes	 $1500-2500	$300-850	1050	210	Yes the meeting program was available online on the conference website.	None	None	None	None	None	No	None	None	None	7 Men: 2 Women				conf chairs: 1 Man: 1 Woman, Scientific committee: 13 Men: 4 Women, Organizing committee: 6 Men: 2 Women	None	None	None	https://www.conference-expert.eu/en/iusti2019	
European Scientific Conference on Applied Infectious Disease Epidemiology (ESCAIDE)	2019	Epidemiology		European Centre for Disease Prevention and Control (ECDC)	No information available online	500	Stockholm, Sweden	Annual		None	None	$1000-1500	$165-330	750	150	Yes has mobile App and the meeting program was also available online.	None	None	None	Yes; Workshop on how to improve your chances to get an article published in a peer-reviewed journal	None	No	None	None	None	6 Men: 3 Women	6 Men: 4 Women	29 Men: 53 Women	6 Women: 4 Men	Conference Chair: 1 Man	None	None	None	https://www.escaide.eu/en	
International Genetic Epidemiology Society (IGES) meeting	2019	Molecular Epidemiology	29	International Genetic Epidemiology Society (IGES)	2000	600	Houston, Texas, USA	Annual	The Dalla Lana School of Public Health, The Canadian Institute of Health Research (CIHR IRSC), the Canadian Statistical Science Institute, Ludmer Centre for Neuroinformatics and Mental Health, The McLaughlin Centre (MC), Wiley publisher	None	None	 $2000-4000	$300-1000	900	180	None	None	None	None	None	None	Awards but may or may not be for travel awards: 3 student awards, 1 early career award	None	None	None	No information available online.	No information available online.	5 Men: 1 Woman	No information available online	Scientific Committee: 2 Men: 4 Women, Local Organizing Committee: 3 Women: 4 Men	None	None	None	https://iges.memberclicks.net/iges-2019	
International Symposium on Avian Mycoplasmosis and Infectious Coryza (ISMC 2019)	2019	Veterinary Microbiology	1	GD Animal Health company	Not Applicable	150	Landgoed ISVW, Leusden, Netherlands	Annual	@GD_Deventer, Elanco, Ceva, Boehringer Ingelheim, Phibro Animal Health Corporation, MSD Animal Health, BioCheck, PharmSure, Zoetis, Eco Animal Health, HuvePharm, IndexxLaboratories	None	None	$1000-1500	$300-400	225	45	Yes the meeting program was available online as a .pdf file on the conference website.	None	None	None	None	None	No	None	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	7 Men: 3 Women	Not Applicable to this meeting.	No information available online	None	None	None	https://www.gdanimalhealth.com/ismc2019	
American Historical Association meeting	2019	History	136	American Historical Association	12000	5000	Washington DC, USA	Annual 	No information available online	None	None	$1000-1500	$84-$358	7500	1500	Yes has mobile App and the meeting program was also available online.	None 	Yes	Yes (The Association will offer grants of up to $250 USD to assist AHA members who have childcare costs during the meeting. The grants are intended to help offset the cost of child care, enabling attendees with dependent children to attend the meeting.)	Yes	None	Yes (Only graduates student members and un/underemployed members of the Association are eligible to apply for the AHA Council Annual Meeting Travel Grants. Please note: No individual is eligible to receive more than one travel grant. Preference will be given to those who have previously applied but not received an award. $200-$400 each)	https://www.historians.org/about-aha-and-membership/governance/policies-and-documents-of-the-association/code-of-professional-conduct-at-officially-sanctioned-aha-activities	None	None	Not Applicable to this meeting.	4 Women: 5 Men	Not Applicable to this meeting.	244 Men: 217 Women	Program Committee: 9 Men: 7 Women, Local committee: 5 Women: 4 Men	None	None	None	https://www.historians.org/annual-meeting	
MLA2020(Modern Language Association meeting)	2020	Linguistics	187	Modern Language Association	26000	20000	Seattle, USA	Annual 	No information available online	None	None	 $2000-4000	$65-$320	30000	6000	Yes has mobile App and the meeting program was also available online.	Yes	No (Childcare Reimbursement: MLA members who are registered for the con­vention and use childcare services provided by one of the convention hotels or another service are eligible for reimbursement (up to $400). 	None 	None	None	None	https://mla.confex.com/mla/2020/meetingapp.cgi/ModuleMeetingInfo/Appropriate%20Conduct%20at%20the%20MLA%20Annual%20Convention	None	None	2 Men: 1 Woman	9 Men: 6 Women	Not Applicable to this meeting.	Plenary session chairs: 2 Men: 1 Woman	National Program Committee Chairs: 14 Women: 8 Men, Conference Chairs: 1 Man : 1 Woman	None	None	None	https://mla.confex.com/mla/2020/meetingapp.cgi/Home/0	
237th ECS Meeting & 18th International Meeting on Chemical Sensors IMCS	2020	Chemistry	18	The Electrochemical Society	8000	4000	Montreal, Canada	Biennial	NSF, ECS, Georgia Institute of Technology, SPEC Sensors, KWJ ENgineering, Waterloo Institute for Nanotechnology, Iphasense The sensor technology compan, GE global Research	None	None	 $2000-4000	$365-$760	6000	1200	Yes the meeting program was available online on the conference website.	None	None	None	None	None	None	None	None	None	Not Applicable to this meeting.	3 Men: 1 Woman	31 Men: 14 Women	No information available	Organizing committee: 44 Men: 12 Women	None	None	None	https://imcs2020.gatech.edu/visa-information/	
Directing Biosynthesis VI	2020	Chemistry	12	Royal Society for Chemistry	54000	1200	Edinburgh, United Kingdom	Biennial	ScotCHEM (https://www.scotchem.ac.uk/)	None 	None	 $2000-4000	$348-$642	1800	360	None	None	None	Yes (Grants for carers have been introduced following the Royal Society of Chemistry Breaking the barriers report where 78% of chemists working in UK academia felt that managing parenting and/or caring responsibilities has an impact on women’s retention and progression. This fund is not limited to women scientists and welcomes applications from anyone with caring responsibilities. These grants have been supported by The Royal Society of Chemistry’s Chemists’ Community Fund.  Caring responsibilities are wide and varied, and so each application will be individually assessed, examples of applications that we will consider include:      paying for extra home help or nursing care for a dependent whilst you will not be present     additional medical/respite care for a dependent whilst you will not be present     travel expenses for a relative to travel with you to care for dependents whilst you attend a meeting or event     paying for extended hours with a care worker/childminder/play scheme to cover time when you will arrive home later than normal.)	None	None	Yes two types(1. A limited number of non-competitive travel grants of up to £200 are available for PhD students and early career scientists. These are assigned on a first come, first served basis.  Applicants must be Royal Society of Chemistry members of any level at the time of making their application.     2. Competitive grants of up to £800 are available to assist with international travel expenses for PhD students, postdocs within 10 years of completing their PhD and early career scientists (including technicians and industrialists) within 10 years of leaving full time education. In addition, applicants must be Royal Society of Chemistry members of any level at the time of making their application.)	None	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	11 Men: 3 Women	No information available	No information available	None	None	None	https://www.rsc.org/events/detail/39023/directing-biosynthesis-vi	 Phishing Warning We are aware that some speakers and delegates have been approached by companies claiming to operate on behalf of the Royal Society of Chemistry to book their travel and accommodation for our conferences. Please note that whilst we do sometimes work with accommodation providers in order to facilitate hotel bookings, they would never approach you in the first instance. Details of accommodation providers that we are working with are in the ‘accommodation’ section of this webpage. If you are unsure about an e-mail / phone call you receive, please contact us and do not provide any credit card details or personal information. 
8th European Congress of Mathematics (ECM)	2020	Mathematics 	8	University of Primorska, in collaboration with all active mathematical institutions in Slovenia, The 8th European congress is held under the auspices of the European Mathematical Society – EMS	No information available online	200	Portorož, Slovenia	Every 4 years	The 8ECM is organized in cooperation with:     University of Primorska     Faculty of Tourism Studies – Turistica     Student housing by the University of Primorska     University of Ljubljana     Faculty of Mathematics and Physics     Faculty of Education     Faculty of Maritime Studies and Transport     University of Maribor     Faculty of Natural sciences and Mathematics     and       Institute of Mathematics, Physics and Mechanics     Society of Mathematicians, Physicists and Astronomers     Slovenian Discrete and Applied Mathematics Society     Jozef Stefan Institute     Abelium Ltd.  Slovenian Insurance Association (https://www.zav-zdruzenje.si/en/), Foundation Composito Mathematica (https://www.zav-zdruzenje.si/en/), European Mathematical Soceity Press (https://www.ems-ph.org/)	None	None	 $1000-4000	$195-$434	300	60	Yes the meeting program was available online on the conference website.	None	None	None	None	None	None	None	None	None	Public speakers: 6 Men: 1 Woman	7 Men: 3 Women	22 Men: 8 Women	Not Applicable to this meeting.	Scientific committee chair: 1 Woman, Organizing committee chairs: 1 Man: 1 Woman local organizing ocmmittee chair: 1 Man	None	Yes Public lectures (6 Male lecturers, 1 Female lecturer)	None	https://www.8ecm.si/	Fraud alert warning!      There is an increasing number of fraudulent websites and travel agencies that impersonate 8ECM. While we do our best to protect our participants from scammers, their methods continuously evolve to look more authentic. We would like to alert all participants to be aware of possible scams and to strongly advise you to only use the official Hoteli Bernardin system for booking which you can access on this page to avoid any unpleasant experiences. Organizers of the 8ECM do not contact participants for confirmation of accommodation via phone and do not require any additional information regarding your payment of accommodation.  If you receive any suspicious calls or e-mails that claim to be the official housing agency for 8ECM 2020, please alert the Office of the Organizing Committee at 8ecm2020@famnit.upr.si
COSPAR (Committee on Space Research) meeting	2018	Space Research, Astronautics	42	ICSU or now International Science Council (ISC)	No information available online	1000	Pasadena, CA, United States	Annual	Australian Government, Lockheed MArtin (https://www.lockheedmartin.com/en-au/index.html), CSIRO, Space UNSW Canberra, INSW Government	None	None	 $1000-4000	$230-$920	1500	300	Yes Prorgam App and book were available online on conference website.	None	None	None	Yes (1.International Academy of Astronautics (IAA) Day 2. COSPAR Publishing Connect Workshop: How to Get Published 3. COSPAR Publishing Connect Workshop: How to Review a Manuscript)	None	Yes A very limited amount of money will be available to facilitate participation in the 43rd COSPAR Scientific Assembly. Please read the instructions below, and complete if appropriate the application form. Participants of COSPAR Scientific Assemblies are reminded that they should rely on their own national sources to finance travel and living expenses. In exceptional cases partial support, 1200 Euros maximum, may be available to those participants who are unable to obtain sufficient funding. In many cases only some seed money will be provided. Priority for the grants will be given to: scientists under 35 years of age on 1 January 2020 (50% of available funds will be reserved for this category of applicant),      scientists from developing countries,      scientists from COSPAR member countries in good standing,  To qualify for financial support, the applicant:      must be scheduled to present a paper (poster or oral), of which he/she is the principal author, in one or more of the Assembly scientific events and have submitted, by the deadline for financial support applications, the abstract over the web according to instructions,      must secure most of the required financial support from national sources,      must submit a completed financial support application form to the Main Scientific Organizer of the relevant event, with a copy to the COSPAR Secretariat, by 14 February 2020 (by that date abstracts must be available on the web and should not be attached to the application form; early submission of financial support application forms is strongly encouraged),      must submit proof of age if a scientist under 35 and dated proof of student status showing current enrollment if registering at the student rate, and      is strongly encouraged to submit in a timely manner after the Assembly a manuscript for publication in Advances in Space Research or Life Sciences in Space Research.	None	None	None	Not Applicable to this meeting.	Interdisciplinary Speakers: 3 Men: 3 Women, public lecturer: 1 Woman 	Interdisciplinary Lectures: 4 Men: 2 Women 	Not Applicable to this meeting.	Chair of local organizing committee: 1 Man co-chair: 1 Woman, Chair of international organizing committee: 1 Man, Scientific Program Committee: 16 Men: 2 Women	None	Yes (Public Lecture)	None	http://cospar2018.org/scientific-program/scientific-program-and-abstract-submission/	In 2019, the International Science Council has 135 Member Organizations, 40 Member Unions and Associations, and 30 Affiliated Members.
EPDIC17	2020	X-Ray Diffraction & Scattering	17	Croatian Association for Crystallographers	2000	200	Sibenik, Croatia	Biennial	Bruker, Rigaku, Anton Paar, Proto Manufacturing	None	None	 $1000-4000	$153-$808	300	60	Yes the meeting program was available online.	None	None	None	None	Yes (Best Poster Award for Trainees)	Yes (Bursaries will be available for graduate and PhD students and young postdoc researchers (max 32 years on 01.01.2020) to enable them to attend the EPDIC17 by covering, partially or completely, the subsistence expenses and/or registration fee.)	None	None	Statement on Gender Balance at EPDIC17 The EPDIC17 Organizing Committee, (which itself is composed according to the gender balance policy) fully supports and promotes gender equality in accordance to the IUCr principle:  https://www.iucr.org/iucr/principles-and-policies/gender-balance  We will enforce and ensure the gender equality among our lecturers and participants, and we will pay a special attention to the gender balance in evaluating bursary applications.	Not Applicable to this meeting.	5 Men: 1 Woman	25 Men: 6 Women	Not Applicable to this meeting.	conf chairs: 1 Man: 1 Woman	None	None	None	https://www.epdic17.org/	
ICSCA (International Conference on Software and Computaer Applications)	2020	Software & Computer Applications	9	 Universiti Malaysia Pahang (UMP) and Universiti Malaysia Perlis (UniMAP)	Not Applicable	300	Langkawi, Malaysia	Annual	No information available online	None	None	 $2000-4000	$300-$580	450	90	Yes the meeting program was available online.	None	None	None	None	None	None	None	None	None	3 Men only	Not Applicable to this meeting.	5 Men	Not Applicable to this meeting.	Conf Advisory committee: 2 Men, Conference chairs: 3 Men, Program chairs: 4 Men, Local Arrangement chairs: 7 Men	None	None	None	http://www.icsca.org/	
3rd Chromosomal Instability as a Driver of Human Disease Conference	2020	Biology, Biophysics	3	Fusion Conferences Limited	Not Applicable	200	Lisbon, Portugal	Annual	Journal of Translational Genetics & Genomics, Cancers (an open access journal by MDPI)	None	None	 $2000-4000	$886-$1500	300	60	Yes the meeting program was available online.	None	None	None	None	None	No only discount (Take advantage of this fantastic opportunity for students! Register an academic at the earlybird rate and bring a student for only €820. Unfortunately, Postdocs are not eligible for this offer.)	None	None	None	No information available online	8 Men: 4 Women	14 Men: 8 Women	No information available online	Chairs: 2 Men only	None	None	None	https://www.fusion-conferences.com/conference/108	
2nd International Conference on PharmScience Research & Development 	2020	Pharmaceutical Science	2	Not Applicable	Not Applicable	300	Los Angeles, California, United States	Annual	USG United Scientific Group A non-profit organization	None	None	 $2000-4000	$999-$1099	450	90	None	None	None	None	None	None	None	None	None	None	4 Men	56 Men: 31 Women 	No information available online	No information available online	Organizing committee: 5 Men: 2 Women 	None	None	None	https://www.pharma-rd.com/	
International Conference on Computer and Automation Engineering (ICCAE)	2020	Computer and Automation Engineering	12	Not Applicable	Not Applicable	1000	Sydney, Australia	Annual	University of Western Australia, MacQuarie University, Optical COmmunications Research Group at Northumbria University	None	None	 $2000-4000	$350-$550	1500	300	Yes the meeting program was available online as a .pdf file.	None	None	None	None	None	None	None	None	None	3 Men: 1 Woman	2 Men	No information available online	Not Applicable	conf chair: 1 Woman local chair: 1 Man conf program chairs: 3 Men	None	None	None	http://www.iccae.org/	
